identifier,ea7b1d79-881a-4bf5-9f64-7e89398c2838,
value,7.1,
dataTime,2007/3/20,
value,1.5,
dataTime,2007/3/21,
value,0,
dataTime,2007/3/22,
value,0,
dataTime,2007/3/23,
value,0,
dataTime,2007/3/24,
value,31,
dataTime,2007/3/25,
value,20.4,
dataTime,2007/3/26,
value,1.5,
dataTime,2007/3/27,
value,28.5,
dataTime,2007/3/28,
value,0,
dataTime,2007/3/29,
value,0,
dataTime,2007/3/30,
value,0,
dataTime,2007/3/31,
value,0,
parameterName,total,
parameterValue,291.8,
dataTime,2007/4/1,
value,0.5,
dataTime,2007/4/2,
value,27.4,
dataTime,2007/4/3,
value,11,
dataTime,2007/4/4,
value,4,
dataTime,2007/4/5,
value,0.3,
dataTime,2007/4/6,
value,9.2,
dataTime,2007/4/7,
value,9.6,
dataTime,2007/4/8,
value,8,
dataTime,2007/4/9,
value,5,
dataTime,2007/4/10,
value,52,
dataTime,2007/4/12,
value,0,
dataTime,2007/4/13,
value,0,
dataTime,2007/4/14,
value,0.1,
dataTime,2007/4/15,
value,2.7,
dataTime,2007/4/16,
value,0,
dataTime,2007/4/17,
value,0.5,
dataTime,2007/4/18,
value,42,
dataTime,2007/4/19,
value,0,
dataTime,2007/4/20,
value,0,
dataTime,2007/4/21,
value,0,
dataTime,2007/4/22,
value,0,
dataTime,2007/4/23,
value,23.8,
dataTime,2007/4/24,
value,4.1,
dataTime,2007/4/25,
value,5.2,
dataTime,2007/4/26,
value,0,
dataTime,2007/4/27,
value,0,
dataTime,2007/4/28,
value,0.2,
dataTime,2007/4/29,
value,0,
dataTime,2007/4/30,
value,8,
parameterName,total,
parameterValue,213.6,
dataTime,2007/5/1,
value,8.5,
dataTime,2007/5/2,
value,0,
dataTime,2007/5/3,
value,0,
dataTime,2007/5/4,
value,0.2,
dataTime,2007/5/5,
value,29.2,
dataTime,2007/5/6,
value,4,
dataTime,2007/5/7,
value,0,
dataTime,2007/5/8,
value,0,
dataTime,2007/5/9,
value,0,
dataTime,2007/5/10,
value,0,
dataTime,2007/5/11,
value,0,
dataTime,2007/5/12,
value,0,
dataTime,2007/5/13,
value,0,
dataTime,2007/5/14,
value,0,
dataTime,2007/5/18,
value,11,
dataTime,2007/5/19,
value,18.5,
dataTime,2007/5/20,
value,15.6,
dataTime,2007/5/21,
value,0,
dataTime,2007/5/22,
value,0.5,
dataTime,2007/5/23,
value,0.2,
dataTime,2007/5/24,
value,0,
dataTime,2007/5/25,
value,0.9,
dataTime,2007/5/26,
value,6,
dataTime,2007/5/27,
value,0,
dataTime,2007/5/28,
value,0,
dataTime,2007/5/29,
value,0,
dataTime,2007/5/30,
value,0.1,
dataTime,2007/5/31,
value,0,
parameterName,total,
parameterValue,94.7,
dataTime,2007/6/1,
value,0,
dataTime,2007/6/2,
value,0,
dataTime,2007/6/3,
value,45.7,
dataTime,2007/6/4,
value,35.1,
dataTime,2007/6/5,
value,12.9,
dataTime,2007/6/6,
value,77,
dataTime,2007/6/7,
value,65.3,
dataTime,2007/6/8,
value,141.6,
dataTime,2007/6/9,
value,50.2,
dataTime,2007/6/10,
value,28.5,
dataTime,2007/6/11,
value,0.3,
dataTime,2007/6/12,
value,6.3,
dataTime,2007/6/13,
value,0,
dataTime,2007/6/14,
value,0,
dataTime,2007/6/15,
value,5,
dataTime,2007/6/16,
value,6.2,
dataTime,2007/6/17,
value,0.5,
dataTime,2007/6/18,
value,0,
dataTime,2007/6/19,
value,8,
dataTime,2007/6/20,
value,16,
dataTime,2007/6/21,
value,5.5,
dataTime,2007/6/22,
value,0,
dataTime,2007/6/23,
value,28,
dataTime,2007/6/24,
value,0,
dataTime,2007/6/25,
value,0,
dataTime,2007/6/26,
value,113.2,
dataTime,2007/6/27,
value,58,
dataTime,2007/6/28,
value,19.3,
dataTime,2007/6/29,
value,40.2,
dataTime,2007/6/30,
value,16.2,
parameterName,total,
parameterValue,779,
dataTime,2007/7/1,
value,34,
dataTime,2007/7/2,
value,1.2,
dataTime,2007/7/3,
value,1.1,
dataTime,2007/7/4,
value,0,
dataTime,2007/7/5,
value,41.2,
dataTime,2007/7/6,
value,0,
dataTime,2007/7/7,
value,0,
dataTime,2007/7/8,
value,0,
dataTime,2007/7/10,
value,0,
dataTime,2007/7/11,
value,71.6,
dataTime,2007/7/12,
value,0.4,
dataTime,2007/7/13,
value,16.5,
dataTime,2007/7/14,
value,0,
dataTime,2007/7/15,
value,0,
dataTime,2007/7/16,
value,0,
dataTime,2007/7/17,
value,0,
dataTime,2007/7/18,
value,0,
dataTime,2007/7/19,
value,0,
dataTime,2007/7/20,
value,0,
dataTime,2007/7/21,
value,0,
dataTime,2007/7/22,
value,0,
dataTime,2007/7/23,
value,0,
dataTime,2007/7/24,
value,20.3,
dataTime,2007/7/25,
value,0,
dataTime,2007/7/26,
value,0,
dataTime,2007/7/27,
value,0,
dataTime,2007/7/28,
value,14.5,
dataTime,2007/7/29,
value,0.2,
dataTime,2007/7/30,
value,1.8,
parameterName,total,
parameterValue,202.8,
dataTime,2007/8/1,
value,13,
dataTime,2007/8/2,
value,1.4,
dataTime,2007/8/3,
value,3.5,
dataTime,2007/8/4,
value,26,
dataTime,2007/8/5,
value,0.6,
dataTime,2007/8/6,
value,0,
dataTime,2007/8/7,
value,45,
dataTime,2007/8/8,
value,12.4,
dataTime,2007/8/9,
value,2,
dataTime,2007/8/10,
value,0.1,
dataTime,2007/8/11,
value,2.3,
dataTime,2007/8/12,
value,15.1,
dataTime,2007/8/13,
value,3.8,
dataTime,2007/8/14,
value,32.2,
dataTime,2007/8/15,
value,0,
dataTime,2007/8/16,
value,17.9,
dataTime,2007/8/17,
value,45.5,
dataTime,2007/8/18,
value,55.5,
dataTime,2007/8/19,
value,7,
dataTime,2007/8/20,
value,0.5,
dataTime,2007/8/21,
value,1.4,
dataTime,2007/8/22,
value,83.6,
dataTime,2007/8/23,
value,47.6,
dataTime,2007/8/24,
value,0,
dataTime,2007/8/25,
value,1.5,
dataTime,2007/8/26,
value,15.8,
dataTime,2007/8/27,
value,0,
dataTime,2007/8/28,
value,0,
dataTime,2007/8/29,
value,0,
dataTime,2007/8/30,
value,1.7,
dataTime,2007/8/31,
value,3.2,
parameterName,total,
parameterValue,438.6,
dataTime,2007/9/2,
value,4.6,
dataTime,2007/9/3,
value,26.8,
dataTime,2007/9/4,
value,52.5,
dataTime,2007/9/5,
value,42.5,
dataTime,2007/9/6,
value,2.5,
dataTime,2007/9/7,
value,0,
dataTime,2007/9/8,
value,0,
dataTime,2007/9/9,
value,0,
dataTime,2007/9/10,
value,0,
dataTime,2007/9/11,
value,0,
dataTime,2007/9/12,
value,0.4,
dataTime,2007/9/13,
value,0,
dataTime,2007/9/14,
value,0,
dataTime,2007/9/15,
value,0,
dataTime,2007/9/16,
value,3.1,
dataTime,2007/9/17,
value,35.6,
dataTime,2007/9/18,
value,106.2,
dataTime,2007/9/19,
value,19.7,
dataTime,2007/9/21,
value,18.2,
dataTime,2007/9/22,
value,35.5,
dataTime,2007/9/23,
value,2.5,
dataTime,2007/9/24,
value,0.5,
dataTime,2007/9/25,
value,0,
dataTime,2007/9/26,
value,0,
dataTime,2007/9/27,
value,0,
dataTime,2007/9/28,
value,0,
dataTime,2007/9/29,
value,0,
dataTime,2007/9/30,
value,0.3,
parameterName,total,
parameterValue,350.9,
dataTime,2007/10/1,
value,1.5,
dataTime,2007/10/2,
value,0,
dataTime,2007/10/3,
value,4,
dataTime,2007/10/4,
value,17,
dataTime,2007/10/5,
value,7.4,
dataTime,2007/10/6,
value,187.2,
dataTime,2007/10/7,
value,17.5,
dataTime,2007/10/8,
value,1,
dataTime,2007/10/9,
value,10,
dataTime,2007/10/10,
value,0,
dataTime,2007/10/11,
value,0,
dataTime,2007/10/12,
value,0.5,
dataTime,2007/10/13,
value,0,
dataTime,2007/10/16,
value,0,
dataTime,2007/10/18,
value,0,
dataTime,2007/10/19,
value,0,
dataTime,2007/10/20,
value,0,
dataTime,2007/10/21,
value,0,
dataTime,2007/10/22,
value,0,
dataTime,2007/10/23,
value,0,
dataTime,2007/10/25,
value,0,
dataTime,2007/10/27,
value,0,
dataTime,2007/10/28,
value,0,
dataTime,2007/10/29,
value,0,
dataTime,2007/10/31,
value,0.7,
parameterName,total,
parameterValue,246.8,
dataTime,2007/11/1,
value,19.1,
dataTime,2007/11/2,
value,2.2,
dataTime,2007/11/3,
value,0.2,
dataTime,2007/11/4,
value,0.1,
dataTime,2007/11/5,
value,5.6,
dataTime,2007/11/6,
value,34,
dataTime,2007/11/7,
value,5.8,
dataTime,2007/11/8,
value,2.2,
dataTime,2007/11/12,
value,0,
dataTime,2007/11/13,
value,0,
dataTime,2007/11/14,
value,0,
dataTime,2007/11/15,
value,0,
dataTime,2007/11/16,
value,0,
dataTime,2007/11/17,
value,0,
dataTime,2007/11/19,
value,0.5,
dataTime,2007/11/21,
value,0,
dataTime,2007/11/22,
value,0.2,
dataTime,2007/11/23,
value,6.2,
dataTime,2007/11/24,
value,3.4,
dataTime,2007/11/25,
value,0,
dataTime,2007/11/26,
value,22.1,
dataTime,2007/11/27,
value,72,
dataTime,2007/11/28,
value,7.6,
dataTime,2007/11/30,
value,0,
parameterName,total,
parameterValue,181.2,
dataTime,2007/12/1,
value,0,
dataTime,2007/12/2,
value,0,
dataTime,2007/12/3,
value,0.1,
dataTime,2007/12/4,
value,0,
dataTime,2007/12/5,
value,0,
dataTime,2007/12/6,
value,0,
dataTime,2007/12/7,
value,0.1,
dataTime,2007/12/8,
value,0,
dataTime,2007/12/9,
value,0,
dataTime,2007/12/10,
value,0,
dataTime,2007/12/11,
value,0,
dataTime,2007/12/12,
value,0,
dataTime,2007/12/13,
value,0,
dataTime,2007/12/14,
value,0,
dataTime,2007/12/15,
value,0,
dataTime,2007/12/16,
value,0,
dataTime,2007/12/17,
value,0,
dataTime,2007/12/19,
value,0.9,
dataTime,2007/12/20,
value,0,
dataTime,2007/12/21,
value,0,
dataTime,2007/12/23,
value,7.5,
dataTime,2007/12/24,
value,31.5,
dataTime,2007/12/26,
value,0,
dataTime,2007/12/27,
value,0,
dataTime,2007/12/28,
value,0,
dataTime,2007/12/29,
value,0.2,
dataTime,2007/12/31,
value,0,
parameterName,total,
parameterValue,40.3,
locationName,"TAMSUI,Ê∑°Ê∞¥",
stationId,466900,
elementName,ÊØèÊó•?®È?,
dataTime,2007/1/1,
value,0,
dataTime,2007/1/2,
value,0,
dataTime,2007/1/3,
value,36,
dataTime,2007/1/4,
value,5,
dataTime,2007/1/5,
value,0.5,
dataTime,2007/1/6,
value,5.5,
dataTime,2007/1/7,
value,0,
dataTime,2007/1/8,
value,0,
dataTime,2007/1/9,
value,0,
dataTime,2007/1/10,
value,0,
dataTime,2007/1/11,
value,0,
dataTime,2007/1/12,
value,2.5,
dataTime,2007/1/13,
value,1.6,
dataTime,2007/1/14,
value,0,
dataTime,2007/1/15,
value,0,
dataTime,2007/1/16,
value,0,
dataTime,2007/1/17,
value,42.1,
dataTime,2007/1/18,
value,7.5,
dataTime,2007/1/19,
value,4.5,
dataTime,2007/1/20,
value,0,
dataTime,2007/1/21,
value,2.5,
dataTime,2007/1/22,
value,0.5,
dataTime,2007/1/23,
value,2.5,
dataTime,2007/1/24,
value,1,
dataTime,2007/1/25,
value,0,
dataTime,2007/1/26,
value,0,
dataTime,2007/1/27,
value,0,
dataTime,2007/1/28,
value,0,
dataTime,2007/1/29,
value,0,
dataTime,2007/1/30,
value,0,
dataTime,2007/1/31,
value,0,
parameterName,total,
parameterValue,111.7,
dataTime,2007/2/1,
value,0,
dataTime,2007/2/2,
value,0,
dataTime,2007/2/3,
value,0,
dataTime,2007/2/4,
value,0,
dataTime,2007/2/5,
value,0,
dataTime,2007/2/6,
value,0,
dataTime,2007/2/7,
value,0,
dataTime,2007/2/8,
value,0,
dataTime,2007/2/9,
value,0,
dataTime,2007/2/10,
value,0,
dataTime,2007/2/11,
value,0,
dataTime,2007/2/12,
value,0,
dataTime,2007/2/13,
value,0,
dataTime,2007/2/14,
value,0.3,
dataTime,2007/2/15,
value,0.1,
dataTime,2007/2/16,
value,0,
dataTime,2007/2/17,
value,0.5,
dataTime,2007/2/18,
value,2,
dataTime,2007/2/19,
value,1.1,
dataTime,2007/2/20,
value,15,
dataTime,2007/2/21,
value,7.7,
dataTime,2007/2/22,
value,5.5,
dataTime,2007/2/23,
value,0,
dataTime,2007/2/24,
value,3,
dataTime,2007/2/25,
value,25.3,
dataTime,2007/2/26,
value,0,
dataTime,2007/2/27,
value,2.9,
dataTime,2007/2/28,
value,1,
parameterName,total,
parameterValue,64.4,
dataTime,2007/3/1,
value,0.3,
dataTime,2007/3/2,
value,0.5,
dataTime,2007/3/3,
value,0,
dataTime,2007/3/4,
value,23.8,
dataTime,2007/3/5,
value,3.6,
dataTime,2007/3/6,
value,12.5,
dataTime,2007/3/7,
value,15,
dataTime,2007/3/8,
value,21,
dataTime,2007/3/9,
value,17.5,
dataTime,2007/3/10,
value,0,
dataTime,2007/3/11,
value,8,
dataTime,2007/3/12,
value,1.5,
dataTime,2007/3/13,
value,0.5,
dataTime,2007/3/14,
value,0,
dataTime,2007/3/15,
value,0,
dataTime,2007/3/16,
value,0,
dataTime,2007/3/17,
value,0,
dataTime,2007/3/18,
value,2.5,
dataTime,2007/3/19,
value,7,
dataTime,2007/3/20,
value,6.5,
dataTime,2007/3/21,
value,0,
dataTime,2007/3/22,
value,0,
dataTime,2007/3/23,
value,0,
dataTime,2007/3/24,
value,39.5,
dataTime,2007/3/25,
value,0,
dataTime,2007/3/26,
value,3,
dataTime,2007/3/27,
value,45.5,
dataTime,2007/3/28,
value,0,
dataTime,2007/3/29,
value,0,
dataTime,2007/3/30,
value,0,
dataTime,2007/3/31,
value,0,
parameterName,total,
parameterValue,208.2,
dataTime,2007/4/1,
value,9,
dataTime,2007/4/2,
value,22.7,
dataTime,2007/4/3,
value,7.1,
dataTime,2007/4/4,
value,2.5,
dataTime,2007/4/5,
value,1.1,
dataTime,2007/4/6,
value,18.8,
dataTime,2007/4/7,
value,1.7,
dataTime,2007/4/8,
value,11.8,
dataTime,2007/4/9,
value,0.5,
dataTime,2007/4/10,
value,39.2,
dataTime,2007/4/11,
value,0.5,
dataTime,2007/4/12,
value,0,
dataTime,2007/4/13,
value,0,
dataTime,2007/4/14,
value,0,
dataTime,2007/4/15,
value,15.5,
dataTime,2007/4/16,
value,0,
dataTime,2007/4/17,
value,0.6,
dataTime,2007/4/18,
value,64,
dataTime,2007/4/19,
value,0,
dataTime,2007/4/20,
value,0,
dataTime,2007/4/21,
value,0,
dataTime,2007/4/22,
value,0,
dataTime,2007/4/23,
value,20.8,
dataTime,2007/4/24,
value,3.2,
dataTime,2007/4/25,
value,0,
dataTime,2007/4/26,
value,0,
dataTime,2007/4/27,
value,0,
dataTime,2007/4/28,
value,0,
dataTime,2007/4/29,
value,0,
dataTime,2007/4/30,
value,2.3,
parameterName,total,
parameterValue,221.3,
dataTime,2007/5/1,
value,0,
dataTime,2007/5/2,
value,0,
dataTime,2007/5/3,
value,0,
dataTime,2007/5/4,
value,0.5,
dataTime,2007/5/5,
value,52,
dataTime,2007/5/6,
value,2.3,
dataTime,2007/5/7,
value,0,
dataTime,2007/5/8,
value,0,
dataTime,2007/5/9,
value,0,
dataTime,2007/5/10,
value,0,
dataTime,2007/5/11,
value,0,
dataTime,2007/5/12,
value,0,
dataTime,2007/5/13,
value,0,
dataTime,2007/5/14,
value,0,
dataTime,2007/5/15,
value,0,
dataTime,2007/5/16,
value,0,
dataTime,2007/5/17,
value,0.4,
dataTime,2007/5/18,
value,20.6,
dataTime,2007/5/19,
value,16.1,
dataTime,2007/5/20,
value,11.9,
dataTime,2007/5/21,
value,0.5,
dataTime,2007/5/22,
value,1,
dataTime,2007/5/23,
value,0,
dataTime,2007/5/24,
value,0,
dataTime,2007/5/25,
value,0,
dataTime,2007/5/26,
value,0.2,
dataTime,2007/5/27,
value,0,
dataTime,2007/5/28,
value,0,
dataTime,2007/5/29,
value,0,
dataTime,2007/5/30,
value,11.5,
dataTime,2007/5/31,
value,0,
parameterName,total,
parameterValue,117,
dataTime,2007/6/1,
value,0,
dataTime,2007/6/2,
value,0,
dataTime,2007/6/3,
value,38.8,
dataTime,2007/6/4,
value,50,
dataTime,2007/6/5,
value,60.5,
dataTime,2007/6/6,
value,150.5,
dataTime,2007/6/7,
value,61.5,
dataTime,2007/6/8,
value,182,
dataTime,2007/6/9,
value,71.5,
dataTime,2007/6/10,
value,46.7,
dataTime,2007/6/11,
value,3,
dataTime,2007/6/12,
value,7,
dataTime,2007/6/13,
value,0,
dataTime,2007/6/14,
value,0,
dataTime,2007/6/15,
value,13.3,
dataTime,2007/6/16,
value,6,
dataTime,2007/6/17,
value,2.8,
dataTime,2007/6/18,
value,0,
dataTime,2007/6/19,
value,0,
dataTime,2007/6/20,
value,0,
dataTime,2007/6/21,
value,0,
dataTime,2007/6/22,
value,0,
dataTime,2007/6/23,
value,0.9,
dataTime,2007/6/24,
value,0,
dataTime,2007/6/25,
value,0,
dataTime,2007/6/26,
value,41.5,
dataTime,2007/6/27,
value,20.8,
dataTime,2007/6/28,
value,1.9,
dataTime,2007/6/29,
value,0.8,
dataTime,2007/6/30,
value,0,
parameterName,total,
parameterValue,759.5,
dataTime,2007/7/1,
value,0,
dataTime,2007/7/2,
value,0,
dataTime,2007/7/3,
value,0,
dataTime,2007/7/4,
value,0,
dataTime,2007/7/5,
value,0,
dataTime,2007/7/6,
value,0,
dataTime,2007/7/7,
value,0,
dataTime,2007/7/8,
value,0,
dataTime,2007/7/9,
value,0,
dataTime,2007/7/10,
value,0,
dataTime,2007/7/11,
value,0.6,
dataTime,2007/7/12,
value,4,
dataTime,2007/7/13,
value,2,
dataTime,2007/7/14,
value,0,
dataTime,2007/7/15,
value,0,
dataTime,2007/7/16,
value,0,
dataTime,2007/7/17,
value,0,
dataTime,2007/7/18,
value,0,
dataTime,2007/7/19,
value,0,
dataTime,2007/7/20,
value,0,
dataTime,2007/7/21,
value,0,
dataTime,2007/7/22,
value,0,
dataTime,2007/7/23,
value,0,
dataTime,2007/7/24,
value,0,
dataTime,2007/7/25,
value,0,
dataTime,2007/7/26,
value,0,
dataTime,2007/7/27,
value,0,
dataTime,2007/7/28,
value,1.3,
dataTime,2007/7/29,
value,0,
dataTime,2007/7/30,
value,18,
dataTime,2007/7/31,
value,24.5,
parameterName,total,
parameterValue,50.4,
dataTime,2007/8/1,
value,0,
dataTime,2007/8/2,
value,0,
dataTime,2007/8/3,
value,3.4,
dataTime,2007/8/4,
value,48.5,
dataTime,2007/8/5,
value,0,
dataTime,2007/8/6,
value,0,
dataTime,2007/8/7,
value,15.3,
dataTime,2007/8/8,
value,16.4,
dataTime,2007/8/9,
value,0.5,
dataTime,2007/8/10,
value,3,
dataTime,2007/8/11,
value,1.6,
dataTime,2007/8/12,
value,15.5,
dataTime,2007/8/13,
value,3.5,
dataTime,2007/8/14,
value,62.2,
dataTime,2007/8/15,
value,0,
dataTime,2007/8/16,
value,9.5,
dataTime,2007/8/17,
value,22,
dataTime,2007/8/18,
value,37.5,
dataTime,2007/8/19,
value,5.5,
dataTime,2007/8/20,
value,1.4,
dataTime,2007/8/21,
value,0,
dataTime,2007/8/22,
value,0.1,
dataTime,2007/8/23,
value,0.1,
dataTime,2007/8/24,
value,0,
dataTime,2007/8/25,
value,4.5,
dataTime,2007/8/26,
value,10.9,
dataTime,2007/8/27,
value,0,
dataTime,2007/8/28,
value,0,
dataTime,2007/8/29,
value,0,
dataTime,2007/8/30,
value,0,
dataTime,2007/8/31,
value,0,
parameterName,total,
parameterValue,261.4,
dataTime,2007/9/1,
value,0,
dataTime,2007/9/2,
value,0,
dataTime,2007/9/3,
value,0.7,
dataTime,2007/9/4,
value,65,
dataTime,2007/9/5,
value,43.5,
dataTime,2007/9/6,
value,0.6,
dataTime,2007/9/7,
value,0,
dataTime,2007/9/8,
value,0,
dataTime,2007/9/9,
value,0,
dataTime,2007/9/10,
value,0,
dataTime,2007/9/11,
value,0,
dataTime,2007/9/12,
value,9.5,
dataTime,2007/9/13,
value,5.5,
dataTime,2007/9/14,
value,0,
dataTime,2007/9/15,
value,0,
dataTime,2007/9/16,
value,0.7,
dataTime,2007/9/17,
value,40,
dataTime,2007/9/18,
value,102.5,
dataTime,2007/9/19,
value,16.5,
dataTime,2007/9/20,
value,0,
dataTime,2007/9/21,
value,27,
dataTime,2007/9/22,
value,8,
dataTime,2007/9/23,
value,6,
dataTime,2007/9/24,
value,0,
dataTime,2007/9/25,
value,0,
dataTime,2007/9/26,
value,0,
dataTime,2007/9/27,
value,0,
dataTime,2007/9/28,
value,0,
dataTime,2007/9/29,
value,0,
dataTime,2007/9/30,
value,0.7,
parameterName,total,
parameterValue,326.2,
dataTime,2007/10/1,
value,0.5,
dataTime,2007/10/2,
value,0,
dataTime,2007/10/3,
value,0.5,
dataTime,2007/10/4,
value,18.8,
dataTime,2007/10/5,
value,35.6,
dataTime,2007/10/6,
value,236.5,
dataTime,2007/10/7,
value,17.2,
dataTime,2007/10/8,
value,0.5,
dataTime,2007/10/9,
value,0.8,
dataTime,2007/10/10,
value,0,
dataTime,2007/10/11,
value,0,
dataTime,2007/10/12,
value,0,
dataTime,2007/10/13,
value,0.3,
dataTime,2007/10/14,
value,0.4,
dataTime,2007/10/15,
value,0,
dataTime,2007/10/16,
value,0,
dataTime,2007/10/17,
value,0,
dataTime,2007/10/18,
value,0,
dataTime,2007/10/19,
value,0,
dataTime,2007/10/20,
value,0,
dataTime,2007/10/21,
value,0,
dataTime,2007/10/22,
value,0,
dataTime,2007/10/23,
value,0.1,
dataTime,2007/10/24,
value,0,
dataTime,2007/10/25,
value,0.2,
dataTime,2007/10/26,
value,2.6,
dataTime,2007/10/27,
value,0,
dataTime,2007/10/28,
value,0,
dataTime,2007/10/29,
value,0,
dataTime,2007/10/30,
value,0,
parameterName,total,
parameterValue,314,
dataTime,2007/11/1,
value,21.1,
dataTime,2007/11/2,
value,7.5,
dataTime,2007/11/3,
value,0,
dataTime,2007/11/4,
value,0.8,
dataTime,2007/11/5,
value,21,
dataTime,2007/11/6,
value,36,
dataTime,2007/11/7,
value,3.5,
dataTime,2007/11/8,
value,1.6,
dataTime,2007/11/9,
value,1,
dataTime,2007/11/10,
value,0,
dataTime,2007/11/11,
value,0,
dataTime,2007/11/12,
value,0,
dataTime,2007/11/13,
value,0,
dataTime,2007/11/14,
value,0,
dataTime,2007/11/15,
value,0,
dataTime,2007/11/16,
value,0,
dataTime,2007/11/17,
value,0,
dataTime,2007/11/18,
value,10.5,
dataTime,2007/11/19,
value,0,
dataTime,2007/11/20,
value,0,
dataTime,2007/11/21,
value,0,
dataTime,2007/11/22,
value,0,
dataTime,2007/11/23,
value,1.5,
dataTime,2007/11/24,
value,1,
dataTime,2007/11/25,
value,0,
dataTime,2007/11/26,
value,56,
dataTime,2007/11/27,
value,42.5,
dataTime,2007/11/28,
value,4,
dataTime,2007/11/29,
value,0,
dataTime,2007/11/30,
value,1.5,
parameterName,total,
parameterValue,209.5,
dataTime,2007/12/1,
value,0,
dataTime,2007/12/2,
value,0,
dataTime,2007/12/3,
value,1.8,
dataTime,2007/12/4,
value,0,
dataTime,2007/12/5,
value,0,
dataTime,2007/12/6,
value,0,
dataTime,2007/12/7,
value,0,
dataTime,2007/12/8,
value,0,
dataTime,2007/12/9,
value,0,
dataTime,2007/12/10,
value,0,
dataTime,2007/12/11,
value,0,
dataTime,2007/12/12,
value,0,
dataTime,2007/12/13,
value,0,
dataTime,2007/12/14,
value,0,
dataTime,2007/12/15,
value,0,
dataTime,2007/12/16,
value,0,
dataTime,2007/12/17,
value,0,
dataTime,2007/12/18,
value,0,
dataTime,2007/12/19,
value,0.7,
dataTime,2007/12/20,
value,0,
dataTime,2007/12/21,
value,0,
dataTime,2007/12/22,
value,0.1,
dataTime,2007/12/23,
value,3.3,
dataTime,2007/12/24,
value,19,
dataTime,2007/12/25,
value,3.6,
dataTime,2007/12/26,
value,0,
dataTime,2007/12/27,
value,0,
dataTime,2007/12/28,
value,0,
dataTime,2007/12/29,
value,0.5,
dataTime,2007/12/30,
value,0,
dataTime,2007/12/31,
value,0,
parameterName,total,
parameterValue,29,
locationName,"ANBU,?çÈÉ®",
stationId,466910,
elementName,ÊØèÊó•?®È?,
dataTime,2007/1/1,
value,0,
dataTime,2007/1/2,
value,2.5,
dataTime,2007/1/3,
value,47,
dataTime,2007/1/4,
value,17.5,
dataTime,2007/1/5,
value,7.5,
dataTime,2007/1/6,
value,15,
dataTime,2007/1/7,
value,0.5,
dataTime,2007/1/8,
value,0.5,
dataTime,2007/1/9,
value,0,
dataTime,2007/1/10,
value,2.5,
